iter	Passed	Remaining
0	137	164331
1	269	161644
2	401	160178
3	538	161155
4	676	161588
5	809	161041
6	940	160280
7	1082	161285
8	1215	160849
9	1346	160276
10	1479	159869
11	1612	159600
12	1756	160349
13	1888	159987
14	2016	159333
15	2160	159849
16	2293	159568
17	2423	159143
18	2559	159074
19	2687	158547
20	2821	158385
21	2947	157821
22	3076	157437
23	3208	157196
24	3337	156867
25	3471	156749
26	3613	156965
27	3747	156848
28	3876	156531
29	4001	156075
30	4131	155780
31	4263	155618
32	4395	155444
33	4535	155551
34	4675	155635
35	4819	155841
36	4955	155752
37	5084	155478
38	5217	155313
39	5345	155028
40	5478	154853
41	5610	154687
42	5744	154565
43	5888	154695
44	6013	154351
45	6145	154160
46	6278	154028
47	6407	153782
48	6542	153681
49	6676	153568
50	6811	153455
51	6941	153251
52	7072	153065
53	7208	152990
54	7338	152778
55	7479	152788
56	7611	152639
57	7744	152482
58	7876	152327
59	8013	152257
60	8157	152323
61	8287	152107
62	8415	151885
63	8553	151830
64	8684	151644
65	8810	151385
66	8943	151244
67	9077	151115
68	9206	150907
69	9341	150794
70	9476	150697
71	9605	150493
72	9741	150399
73	9878	150309
74	10009	150139
75	10139	149959
76	10282	149958
77	10416	149838
78	10547	149668
79	10680	149523
80	10809	149335
81	10941	149178
82	11072	149012
83	11200	148806
84	11331	148647
85	11480	148714
86	11628	148769
87	11780	148858
88	11923	148837
89	12064	148791
90	12202	148709
91	12344	148671
92	12485	148619
93	12626	148564
94	12773	148575
95	12914	148515
96	13056	148463
97	13190	148326
98	13328	148230
99	13461	148079
100	13593	147917
101	13727	147770
102	13867	147693
103	14001	147550
104	14129	147354
105	14263	147213
106	14397	147066
107	14534	146962
108	14671	146845
109	14812	146779
110	14946	146639
111	15082	146514
112	15221	146423
113	15365	146380
114	15499	146232
115	15631	146076
116	15780	146072
117	15911	145902
118	16042	145734
119	16175	145582
120	16340	145710
121	16471	145545
122	16600	145353
123	16731	145189
124	16863	145025
125	16991	144835
126	17137	144791
127	17269	144633
128	17394	144415
129	17528	144275
130	17666	144162
131	17799	144015
132	17934	143882
133	18066	143724
134	18202	143595
135	18332	143422
136	18463	143259
137	18605	143184
138	18740	143044
139	18876	142924
140	19015	142815
141	19145	142644
142	19277	142490
143	19407	142319
144	19536	142142
145	19670	142007
146	19801	141840
147	19932	141680
148	20058	141484
149	20193	141354
150	20324	141195
151	20457	141051
152	20594	140933
153	20724	140766
154	20859	140634
155	20993	140494
156	21131	140381
157	21262	140224
158	21395	140081
159	21526	139923
160	21665	139813
161	21793	139638
162	21929	139515
163	22059	139349
164	22201	139262
165	22334	139121
166	22468	138982
167	22598	138819
168	22732	138682
169	22870	138566
170	23005	138434
171	23139	138300
172	23278	138191
173	23409	138036
174	23542	137892
175	23679	137770
176	23808	137605
177	23945	137482
178	24093	137427
179	24224	137272
180	24374	137223
181	24517	137135
182	24648	136982
183	24778	136820
184	24910	136671
185	25042	136524
186	25177	136390
187	25309	136240
188	25437	136071
189	25582	135989
190	25715	135847
191	25842	135675
192	25983	135572
193	26120	135451
194	26278	135433
195	26426	135367
196	26570	135280
197	26705	135145
198	26864	135133
199	26990	134954
200	27148	134932
201	27287	134818
202	27416	134653
203	27581	134662
204	27715	134520
205	27848	134374
206	28010	134370
207	28143	134222
208	28274	134065
209	28424	134001
210	28587	133997
211	28717	133833
212	28851	133692
213	29018	133701
214	29181	133692
215	29312	133534
216	29449	133405
217	29598	133327
218	29755	133290
219	29886	133131
220	30017	132972
221	30147	132813
222	30296	132733
223	30438	132624
224	30566	132455
225	30697	132298
226	30844	132212
227	30983	132085
228	31138	132034
229	31272	131886
230	31410	131761
231	31545	131621
232	31678	131474
233	31843	131454
234	32019	131484
235	32152	131336
236	32285	131185
237	32421	131049
238	32549	130878
239	32685	130741
240	32825	130619
241	32968	130509
242	33100	130360
243	33230	130198
244	33364	130052
245	33497	129904
246	33627	129743
247	33758	129589
248	33905	129493
249	34070	129467
250	34214	129359
251	34353	129232
252	34493	129110
253	34635	128998
254	34773	128864
255	34922	128777
256	35069	128680
257	35212	128568
258	35351	128441
259	35494	128325
260	35639	128218
261	35774	128077
262	35922	127983
263	36060	127850
264	36191	127696
265	36330	127567
266	36481	127479
267	36615	127334
268	36784	127308
269	36950	127273
270	37114	127231
271	37262	127131
272	37399	126994
273	37554	126916
274	37689	126773
275	37853	126726
276	38000	126623
277	38151	126530
278	38310	126464
279	38438	126299
280	38583	126185
281	38755	126160
282	38885	126001
283	39023	125865
284	39181	125793
285	39316	125647
286	39441	125469
287	39579	125336
288	39735	125256
289	39864	125093
290	39997	124941
291	40133	124797
292	40293	124730
293	40434	124605
294	40596	124543
295	40759	124481
296	40896	124342
297	41042	124228
298	41185	124107
299	41327	123983
300	41482	123895
301	41618	123753
302	41756	123614
303	41905	123510
304	42042	123370
305	42182	123238
306	42322	123106
307	42455	122956
308	42594	122820
309	42729	122675
310	42892	122609
311	43035	122485
312	43171	122341
313	43305	122192
314	43440	122046
315	43580	121914
316	43711	121759
317	43840	121595
318	43971	121437
319	44112	121310
320	44249	121170
321	44391	121042
322	44526	120895
323	44658	120742
324	44788	120584
325	44921	120434
326	45051	120275
327	45185	120126
328	45316	119970
329	45448	119817
330	45577	119658
331	45706	119496
332	45835	119336
333	45976	119208
334	46111	119064
335	46252	118934
336	46383	118780
337	46519	118639
338	46649	118482
339	46783	118335
340	46917	118188
341	47045	118027
342	47190	117908
343	47324	117760
344	47450	117595
345	47582	117443
346	47721	117308
347	47850	117150
348	47988	117014
349	48124	116873
350	48258	116726
351	48387	116569
352	48515	116410
353	48651	116269
354	48786	116125
355	48916	115971
356	49049	115821
357	49189	115692
358	49322	115544
359	49454	115394
360	49589	115250
361	49717	115092
362	49846	114935
363	49981	114792
364	50117	114652
365	50246	114496
366	50385	114363
367	50510	114198
368	50643	114050
369	50776	113903
370	50906	113750
371	51042	113610
372	51174	113462
373	51306	113312
374	51432	113152
375	51564	113002
376	51698	112859
377	51830	112709
378	51964	112565
379	52101	112429
380	52235	112285
381	52378	112160
382	52510	112013
383	52640	111861
384	52770	111709
385	52901	111559
386	53033	111411
387	53167	111267
388	53297	111116
389	53426	110962
390	53556	110810
391	53687	110662
392	53823	110522
393	53958	110381
394	54089	110232
395	54218	110080
396	54348	109929
397	54482	109785
398	54610	109632
399	54743	109487
400	54888	109365
401	55042	109262
402	55172	109112
403	55304	108965
404	55441	108829
405	55570	108677
406	55704	108534
407	55840	108395
408	55972	108250
409	56105	108106
410	56232	107950
411	56363	107802
412	56496	107657
413	56642	107538
414	56774	107393
415	56907	107247
416	57037	107099
417	57169	106953
418	57299	106804
419	57428	106653
420	57570	106525
421	57700	106375
422	57859	106280
423	57996	106145
424	58136	106013
425	58268	105868
426	58403	105727
427	58533	105579
428	58664	105432
429	58817	105324
430	58959	105197
431	59101	105069
432	59230	104918
433	59370	104787
434	59505	104647
435	59645	104515
436	59768	104355
437	59901	104212
438	60031	104063
439	60159	103911
440	60293	103769
441	60428	103630
442	60572	103506
443	60704	103362
444	60838	103220
445	60977	103087
446	61105	102936
447	61235	102787
448	61378	102661
449	61503	102506
450	61635	102361
451	61770	102222
452	61901	102075
453	62036	101936
454	62160	101779
455	62296	101641
456	62450	101533
457	62593	101406
458	62725	101263
459	62861	101124
460	62994	100981
461	63130	100844
462	63262	100700
463	63402	100569
464	63538	100431
465	63667	100283
466	63798	100137
467	63932	99996
468	64064	99853
469	64209	99729
470	64344	99590
471	64477	99447
472	64606	99300
473	64743	99164
474	64874	99018
475	65031	98913
476	65162	98768
477	65295	98625
478	65436	98495
479	65566	98350
480	65707	98219
481	65838	98074
482	65969	97929
483	66099	97783
484	66226	97633
485	66362	97495
486	66490	97347
487	66622	97202
488	66752	97057
489	66883	96912
490	67012	96765
491	67143	96620
492	67268	96468
493	67403	96329
494	67534	96185
495	67662	96037
496	67805	95910
497	67940	95771
498	68077	95635
499	68212	95497
500	68341	95351
501	68474	95209
502	68612	95075
503	68741	94928
504	68872	94784
505	69003	94640
506	69135	94498
507	69268	94357
508	69405	94222
509	69537	94079
510	69670	93938
511	69810	93808
512	69944	93667
513	70082	93534
514	70213	93390
515	70343	93245
516	70472	93100
517	70599	92951
518	70728	92806
519	70859	92662
520	70991	92520
521	71123	92379
522	71254	92235
523	71393	92103
524	71537	91977
525	71704	91880
526	71860	91768
527	71999	91636
528	72142	91508
529	72282	91376
530	72436	91262
531	72575	91129
532	72713	90994
533	72878	90893
534	73057	90809
535	73198	90678
536	73338	90545
537	73471	90405
538	73608	90269
539	73743	90130
540	73882	89996
541	74010	89850
542	74150	89717
543	74282	89575
544	74420	89441
545	74550	89296
546	74684	89157
547	74820	89019
548	74964	88891
549	75129	88789
550	75272	88660
551	75423	88540
552	75573	88419
553	75712	88286
554	75854	88154
555	75992	88020
556	76134	87889
557	76278	87761
558	76452	87667
559	76611	87555
560	76744	87415
561	76874	87270
562	77010	87132
563	77137	86984
564	77275	86849
565	77409	86709
566	77544	86570
567	77675	86427
568	77813	86292
569	77949	86154
570	78078	86009
571	78207	85864
572	78337	85720
573	78466	85574
574	78611	85447
575	78749	85311
576	78883	85172
577	79027	85043
578	79161	84903
579	79295	84763
580	79425	84619
581	79553	84474
582	79684	84331
583	79819	84192
584	79947	84047
585	80077	83903
586	80212	83765
587	80348	83627
588	80479	83485
589	80618	83351
590	80749	83208
591	80882	83068
592	81012	82925
593	81142	82781
594	81284	82650
595	81426	82519
596	81554	82374
597	81686	82232
598	81825	82098
599	81954	81954
600	82087	81814
601	82220	81673
602	82354	81535
603	82489	81396
604	82623	81258
605	82755	81116
606	82887	80976
607	83022	80837
608	83151	80693
609	83285	80554
610	83415	80411
611	83562	80285
612	83698	80148
613	83832	80009
614	83966	79870
615	84106	79737
616	84237	79595
617	84371	79456
618	84524	79335
619	84653	79191
620	84790	79056
621	84922	78915
622	85054	78774
623	85192	78638
624	85316	78491
625	85448	78350
626	85581	78210
627	85724	78079
628	85856	77939
629	85995	77805
630	86127	77664
631	86257	77522
632	86387	77379
633	86519	77239
634	86653	77101
635	86785	76960
636	86915	76818
637	87054	76684
638	87190	76547
639	87319	76404
640	87451	76264
641	87580	76121
642	87714	75982
643	87849	75845
644	87984	75707
645	88116	75567
646	88247	75426
647	88379	75286
648	88511	75146
649	88647	75009
650	88777	74867
651	88909	74727
652	89038	74585
653	89171	74445
654	89302	74305
655	89435	74166
656	89578	74035
657	89719	73902
658	89859	73769
659	89988	73627
660	90119	73486
661	90252	73346
662	90387	73210
663	90529	73077
664	90655	72933
665	90790	72795
666	90921	72655
667	91052	72514
668	91181	72372
669	91311	72231
670	91441	72090
671	91582	71957
672	91714	71817
673	91843	71676
674	91975	71536
675	92109	71398
676	92241	71259
677	92374	71119
678	92536	71003
679	92681	70873
680	92838	70753
681	92989	70628
682	93153	70513
683	93290	70377
684	93442	70252
685	93582	70118
686	93716	69980
687	93872	69858
688	94015	69727
689	94144	69584
690	94296	69460
691	94436	69326
692	94597	69207
693	94727	69066
694	94887	68947
695	95022	68809
696	95173	68683
697	95320	68554
698	95455	68416
699	95607	68291
700	95756	68163
701	95927	68050
702	96060	67912
703	96210	67784
704	96353	67652
705	96485	67512
706	96644	67391
707	96773	67249
708	96912	67114
709	97078	66998
710	97211	66858
711	97354	66726
712	97499	66595
713	97635	66457
714	97765	66316
715	97909	66184
716	98055	66053
717	98188	65914
718	98316	65772
719	98446	65631
720	98581	65493
721	98717	65355
722	98860	65223
723	98990	65082
724	99121	64941
725	99251	64800
726	99385	64661
727	99519	64523
728	99651	64383
729	99781	64242
730	99917	64105
731	100046	63964
732	100183	63827
733	100315	63688
734	100460	63556
735	100594	63418
736	100726	63278
737	100854	63136
738	100989	62998
739	101129	62864
740	101262	62725
741	101398	62588
742	101533	62450
743	101662	62309
744	101794	62169
745	101921	62027
746	102050	61886
747	102180	61745
748	102315	61608
749	102458	61475
750	102621	61354
751	102772	61225
752	102931	61102
753	103078	60972
754	103235	60847
755	103365	60706
756	103519	60580
757	103665	60448
758	103799	60310
759	103965	60190
760	104098	60051
761	104231	59912
762	104378	59781
763	104523	59649
764	104669	59517
765	104814	59385
766	104955	59251
767	105120	59130
768	105254	58991
769	105410	58865
770	105549	58730
771	105710	58606
772	105862	58477
773	106011	58347
774	106157	58215
775	106311	58087
776	106441	57946
777	106595	57818
778	106736	57684
779	106883	57552
780	107039	57425
781	107172	57286
782	107304	57146
783	107448	57013
784	107582	56874
785	107714	56735
786	107846	56595
787	107979	56456
788	108108	56315
789	108241	56176
790	108384	56041
791	108531	55909
792	108663	55770
793	108799	55632
794	108930	55492
795	109063	55353
796	109199	55216
797	109332	55077
798	109466	54938
